commodity_code,commodity_description,duty_expression,standardised_commodity_code
2825100000,"Hydrazine and hydroxylamine and their inorganic salts; other inorganic bases; other metal oxides, hydroxides and peroxides
-	Hydrazine and hydroxylamine and their inorganic salts
	-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
	-	for fitting to or equipping such ships, boats or other vessels;
	-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
	-	for equipping the above platforms;
	-	for linking these drilling or production platforms to the mainland",0.0%,2825100000
2825200000,"Hydrazine and hydroxylamine and their inorganic salts; other inorganic bases; other metal oxides, hydroxides and peroxides
-	Lithium oxide and hydroxide
	-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
	-	for fitting to or equipping such ships, boats or other vessels;
	-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
	-	for equipping the above platforms;
	-	for linking these drilling or production platforms to the mainland",0.0%,2825200000
2825300000,"Hydrazine and hydroxylamine and their inorganic salts; other inorganic bases; other metal oxides, hydroxides and peroxides
-	Vanadium oxides and hydroxides
	-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
	-	for fitting to or equipping such ships, boats or other vessels;
	-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
	-	for equipping the above platforms;
	-	for linking these drilling or production platforms to the mainland",0.0%,2825300000
2825400000,"Hydrazine and hydroxylamine and their inorganic salts; other inorganic bases; other metal oxides, hydroxides and peroxides
-	Nickel oxides and hydroxides
	-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
	-	for fitting to or equipping such ships, boats or other vessels;
	-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
	-	for equipping the above platforms;
	-	for linking these drilling or production platforms to the mainland",0.0%,2825400000
2825500000,"Hydrazine and hydroxylamine and their inorganic salts; other inorganic bases; other metal oxides, hydroxides and peroxides
-	Copper oxides and hydroxides
	-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
	-	for fitting to or equipping such ships, boats or other vessels;
	-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
	-	for equipping the above platforms;
	-	for linking these drilling or production platforms to the mainland",0.0%,2825500000
2825600000,"Hydrazine and hydroxylamine and their inorganic salts; other inorganic bases; other metal oxides, hydroxides and peroxides
-	Germanium oxides and zirconium dioxide
	-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
	-	for fitting to or equipping such ships, boats or other vessels;
	-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
	-	for equipping the above platforms;
	-	for linking these drilling or production platforms to the mainland",0.0%,2825600000
2825700000,"Hydrazine and hydroxylamine and their inorganic salts; other inorganic bases; other metal oxides, hydroxides and peroxides
-	Molybdenum oxides and hydroxides
	-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
	-	for fitting to or equipping such ships, boats or other vessels;
	-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
	-	for equipping the above platforms;
	-	for linking these drilling or production platforms to the mainland",0.0%,2825700000
2825800000,"Hydrazine and hydroxylamine and their inorganic salts; other inorganic bases; other metal oxides, hydroxides and peroxides
-	Antimony oxides
	-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
	-	for fitting to or equipping such ships, boats or other vessels;
	-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
	-	for equipping the above platforms;
	-	for linking these drilling or production platforms to the mainland",0.0%,2825800000
2825900000,"Hydrazine and hydroxylamine and their inorganic salts; other inorganic bases; other metal oxides, hydroxides and peroxides
-	Other
	-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
	-	for fitting to or equipping such ships, boats or other vessels;
	-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
	-	for equipping the above platforms;
	-	for linking these drilling or production platforms to the mainland",0.0%,2825900000
2826000000,"Fluorides; fluorosilicates, fluoroaluminates and other complex fluorine salts
-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
-	for fitting to or equipping such ships, boats or other vessels;
-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
-	for equipping the above platforms;
-	for linking these drilling or production platforms to the mainland",0.0%,2826000000
2827000000,"Chlorides, chloride oxides and chloride hydroxides; bromides and bromide oxides; iodides and iodide oxides
-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
-	for fitting to or equipping such ships, boats or other vessels;
-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
-	for equipping the above platforms;
-	for linking these drilling or production platforms to the mainland",0.0%,2827000000
2828000000,"Hypochlorites; commercial calcium hypochlorite; chlorites; hypobromites
-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
-	for fitting to or equipping such ships, boats or other vessels;
-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
-	for equipping the above platforms;
-	for linking these drilling or production platforms to the mainland",0.0%,2828000000
2829000000,"Chlorates and perchlorates; bromates and perbromates; iodates and periodates
-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
-	for fitting to or equipping such ships, boats or other vessels;
-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
-	for equipping the above platforms;
-	for linking these drilling or production platforms to the mainland",0.0%,2829000000
2830000000,"Sulphides; polysulphides, whether or not chemically defined
-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
-	for fitting to or equipping such ships, boats or other vessels;
-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
-	for equipping the above platforms;
-	for linking these drilling or production platforms to the mainland",0.0%,2830000000
2831000000,"Dithionites and sulphoxylates
-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
-	for fitting to or equipping such ships, boats or other vessels;
-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
-	for equipping the above platforms;
-	for linking these drilling or production platforms to the mainland",0.0%,2831000000
2832000000,"Sulphites; thiosulphates
-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
-	for fitting to or equipping such ships, boats or other vessels;
-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
-	for equipping the above platforms;
-	for linking these drilling or production platforms to the mainland",0.0%,2832000000
2833000000,"Sulphates; alums; peroxosulphates (persulphates)
-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
-	for fitting to or equipping such ships, boats or other vessels;
-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
-	for equipping the above platforms;
-	for linking these drilling or production platforms to the mainland",0.0%,2833000000
2834000000,"Nitrites; nitrates
-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
-	for fitting to or equipping such ships, boats or other vessels;
-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
-	for equipping the above platforms;
-	for linking these drilling or production platforms to the mainland",0.0%,2834000000
2835000000,"Phosphinates (hypophosphites), phosphonates (phosphites) and phosphates; polyphosphates, whether or not chemically defined
-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
-	for fitting to or equipping such ships, boats or other vessels;
-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
-	for equipping the above platforms;
-	for linking these drilling or production platforms to the mainland",0.0%,2835000000
2836000000,"Carbonates; peroxocarbonates (percarbonates); commercial ammonium carbonate containing ammonium carbamate
-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
-	for fitting to or equipping such ships, boats or other vessels;
-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
-	for equipping the above platforms;
-	for linking these drilling or production platforms to the mainland",0.0%,2836000000
2837000000,"Cyanides, cyanide oxides and complex cyanides
-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
-	for fitting to or equipping such ships, boats or other vessels;
-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
-	for equipping the above platforms;
-	for linking these drilling or production platforms to the mainland",0.0%,2837000000
2839000000,"Silicates; commercial alkali metal silicates
-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
-	for fitting to or equipping such ships, boats or other vessels;
-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
-	for equipping the above platforms;
-	for linking these drilling or production platforms to the mainland",0.0%,2839000000
2840000000,"Borates; peroxoborates (perborates)
-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
-	for fitting to or equipping such ships, boats or other vessels;
-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
-	for equipping the above platforms;
-	for linking these drilling or production platforms to the mainland",0.0%,2840000000
2841000000,"Salts of oxometallic or peroxometallic acids
-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
-	for fitting to or equipping such ships, boats or other vessels;
-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
-	for equipping the above platforms;
-	for linking these drilling or production platforms to the mainland",0.0%,2841000000
2842000000,"Other salts of inorganic acids or peroxoacids (including aluminosilicates whether or not chemically defined), other than azides
-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
-	for fitting to or equipping such ships, boats or other vessels;
-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
-	for equipping the above platforms;
-	for linking these drilling or production platforms to the mainland",0.0%,2842000000
2843100000,"VI. MISCELLANEOUS
-	Colloidal precious metals; inorganic or organic compounds of precious metals, whether or not chemically defined; amalgams of precious metals
-	-	Colloidal precious metals
		-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
		-	for fitting to or equipping such ships, boats or other vessels;
		-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
		-	for equipping the above platforms;
		-	for linking these drilling or production platforms to the mainland",0.0%,2843100000
2843210000,"VI. MISCELLANEOUS
-	Colloidal precious metals; inorganic or organic compounds of precious metals, whether or not chemically defined; amalgams of precious metals
-	-	Silver compounds
-	-	-	Silver nitrate
			-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
			-	for fitting to or equipping such ships, boats or other vessels;
			-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
			-	for equipping the above platforms;
			-	for linking these drilling or production platforms to the mainland",0.0%,2843210000
2843290000,"VI. MISCELLANEOUS
-	Colloidal precious metals; inorganic or organic compounds of precious metals, whether or not chemically defined; amalgams of precious metals
-	-	Silver compounds
-	-	-	Other
			-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
			-	for fitting to or equipping such ships, boats or other vessels;
			-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
			-	for equipping the above platforms;
			-	for linking these drilling or production platforms to the mainland",0.0%,2843290000
2843300000,"VI. MISCELLANEOUS
-	Colloidal precious metals; inorganic or organic compounds of precious metals, whether or not chemically defined; amalgams of precious metals
-	-	Gold compounds
		-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
		-	for fitting to or equipping such ships, boats or other vessels;
		-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
		-	for equipping the above platforms;
		-	for linking these drilling or production platforms to the mainland",0.0%,2843300000
2844000000,"Radioactive chemical elements and radioactive isotopes (including the fissile or fertile chemical elements and isotopes) and their compounds; mixtures and residues containing these products
-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
-	for fitting to or equipping such ships, boats or other vessels;
-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
-	for equipping the above platforms;
-	for linking these drilling or production platforms to the mainland",0.0%,2844000000
2845000000,"Isotopes other than those of heading 2844; compounds, inorganic or organic, of such isotopes, whether or not chemically defined
-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
-	for fitting to or equipping such ships, boats or other vessels;
-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
-	for equipping the above platforms;
-	for linking these drilling or production platforms to the mainland",0.0%,2845000000
2846000000,"Compounds, inorganic or organic, of rare-earth metals, of yttrium or of scandium or of mixtures of these metals
-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
-	for fitting to or equipping such ships, boats or other vessels;
-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
-	for equipping the above platforms;
-	for linking these drilling or production platforms to the mainland",0.0%,2846000000
2847000000,"Hydrogen peroxide, whether or not solidified with urea
-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
-	for fitting to or equipping such ships, boats or other vessels;
-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
-	for equipping the above platforms;
-	for linking these drilling or production platforms to the mainland",0.0%,2847000000
2849000000,"Carbides, whether or not chemically defined
-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
-	for fitting to or equipping such ships, boats or other vessels;
-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
-	for equipping the above platforms;
-	for linking these drilling or production platforms to the mainland",0.0%,2849000000
2850002010,"Hydrides, nitrides, azides, silicides and borides, whether or not chemically defined, other than compounds which are also carbides of heading 2849
-	Hydrides; nitrides
-	-	Silane (CAS RN 7803-62-5)
		-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
		-	for fitting to or equipping such ships, boats or other vessels;
		-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
		-	for equipping the above platforms;
		-	for linking these drilling or production platforms to the mainland",0.0%,2850002010
2850002020,"Hydrides, nitrides, azides, silicides and borides, whether or not chemically defined, other than compounds which are also carbides of heading 2849
-	Hydrides; nitrides
-	-	Arsine (CAS RN 7784-42-1)
		-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
		-	for fitting to or equipping such ships, boats or other vessels;
		-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
		-	for equipping the above platforms;
		-	for linking these drilling or production platforms to the mainland",0.0%,2850002020
2850002030,"Hydrides, nitrides, azides, silicides and borides, whether or not chemically defined, other than compounds which are also carbides of heading 2849
-	Hydrides; nitrides
-	-	Titanium nitride with a particle size of not more than 250 nm (CAS RN 25583-20-4)
		-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
		-	for fitting to or equipping such ships, boats or other vessels;
		-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
		-	for equipping the above platforms;
		-	for linking these drilling or production platforms to the mainland",0.0%,2850002030
2850002040,"Hydrides, nitrides, azides, silicides and borides, whether or not chemically defined, other than compounds which are also carbides of heading 2849
-	Hydrides; nitrides
-	-	Germanium tetrahydride (CAS RN 7782-65-2)
		-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
		-	for fitting to or equipping such ships, boats or other vessels;
		-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
		-	for equipping the above platforms;
		-	for linking these drilling or production platforms to the mainland",0.0%,2850002040
2850002060,"Hydrides, nitrides, azides, silicides and borides, whether or not chemically defined, other than compounds which are also carbides of heading 2849
-	Hydrides; nitrides
-	-	Disilane (CAS RN 1590-87-0)
		-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
		-	for fitting to or equipping such ships, boats or other vessels;
		-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
		-	for equipping the above platforms;
		-	for linking these drilling or production platforms to the mainland",0.0%,2850002060
2850002070,"Hydrides, nitrides, azides, silicides and borides, whether or not chemically defined, other than compounds which are also carbides of heading 2849
-	Hydrides; nitrides
-	-	Cubic Boron nitride (CAS RN 10043-11-5)
		-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
		-	for fitting to or equipping such ships, boats or other vessels;
		-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
		-	for equipping the above platforms;
		-	for linking these drilling or production platforms to the mainland",0.0%,2850002070
2850002090,"Hydrides, nitrides, azides, silicides and borides, whether or not chemically defined, other than compounds which are also carbides of heading 2849
-	Hydrides; nitrides
-	-	Other
		-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
		-	for fitting to or equipping such ships, boats or other vessels;
		-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
		-	for equipping the above platforms;
		-	for linking these drilling or production platforms to the mainland",0.0%,2850002090
2850006000,"Hydrides, nitrides, azides, silicides and borides, whether or not chemically defined, other than compounds which are also carbides of heading 2849
-	Azides; silicides
	-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
	-	for fitting to or equipping such ships, boats or other vessels;
	-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
	-	for equipping the above platforms;
	-	for linking these drilling or production platforms to the mainland",0.0%,2850006000
2850009000,"Hydrides, nitrides, azides, silicides and borides, whether or not chemically defined, other than compounds which are also carbides of heading 2849
-	Borides
	-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
	-	for fitting to or equipping such ships, boats or other vessels;
	-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
	-	for equipping the above platforms;
	-	for linking these drilling or production platforms to the mainland",0.0%,2850009000
2852000000,"Inorganic or organic compounds of mercury, whether or not chemically defined, excluding amalgams
-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
-	for fitting to or equipping such ships, boats or other vessels;
-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
-	for equipping the above platforms;
-	for linking these drilling or production platforms to the mainland",0.0%,2852000000
2853000000,"Phosphides, whether or not chemically defined, excluding ferrophosphorus; other inorganic compounds (including distilled or conductivity water and water of similar purity); liquid air (whether or not rare gases have been removed); compressed air; amalgams, other than amalgams of precious metals
-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
-	for fitting to or equipping such ships, boats or other vessels;
-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
-	for equipping the above platforms;
-	for linking these drilling or production platforms to the mainland",0.0%,2853000000
2901000000,"Acyclic hydrocarbons
-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
-	for fitting to or equipping such ships, boats or other vessels;
-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
-	for equipping the above platforms;
-	for linking these drilling or production platforms to the mainland",0.0%,2901000000
2902000000,"Cyclic hydrocarbons
-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
-	for fitting to or equipping such ships, boats or other vessels;
-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
-	for equipping the above platforms;
-	for linking these drilling or production platforms to the mainland",0.0%,2902000000
2903000000,"Halogenated derivatives of hydrocarbons
-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
-	for fitting to or equipping such ships, boats or other vessels;
-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
-	for equipping the above platforms;
-	for linking these drilling or production platforms to the mainland",0.0%,2903000000
2904000000,"Sulphonated, nitrated or nitrosated derivatives of hydrocarbons, whether or not halogenated
-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
-	for fitting to or equipping such ships, boats or other vessels;
-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
-	for equipping the above platforms;
-	for linking these drilling or production platforms to the mainland",0.0%,2904000000
2905000000,"Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives
-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
-	for fitting to or equipping such ships, boats or other vessels;
-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
-	for equipping the above platforms;
-	for linking these drilling or production platforms to the mainland",0.0%,2905000000
2906000000,"Cyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives
-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
-	for fitting to or equipping such ships, boats or other vessels;
-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
-	for equipping the above platforms;
-	for linking these drilling or production platforms to the mainland",0.0%,2906000000
2907000000,"Phenols; phenol-alcohols
-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
-	for fitting to or equipping such ships, boats or other vessels;
-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
-	for equipping the above platforms;
-	for linking these drilling or production platforms to the mainland",0.0%,2907000000
2908000000,"Halogenated, sulphonated, nitrated or nitrosated derivatives of phenols or phenol-alcohols
-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
-	for fitting to or equipping such ships, boats or other vessels;
-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
-	for equipping the above platforms;
-	for linking these drilling or production platforms to the mainland",0.0%,2908000000
2909000000,"Ethers, ether-alcohols, ether-phenols, ether-alcohol-phenols, alcohol peroxides, ether peroxides, ketone peroxides (whether or not chemically defined), and their halogenated, sulphonated, nitrated or nitrosated derivatives
-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
-	for fitting to or equipping such ships, boats or other vessels;
-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
-	for equipping the above platforms;
-	for linking these drilling or production platforms to the mainland",0.0%,2909000000
2909191090,"Ethers, ether-alcohols, ether-phenols, ether-alcohol-phenols, alcohol peroxides, ether peroxides, ketone peroxides (whether or not chemically defined), and their halogenated, sulphonated, nitrated or nitrosated derivatives
Acyclic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives
Other
Tert-butyl ethyl ether (ethyl-tertio-butyl-ether, ETBE)
Other
• for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
• for fitting to or equipping such ships, boats or other vessels;
• for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below:
   fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
• for equipping the above platforms;
• for linking these drilling or production platforms to the mainland",0.0%,2909191090
